"Entity","Day","Daily.new.confirmed.cases.of.COVID.19.per.million.people"
"Zambia","2020-01-04",0
"Zambia","2020-01-05",0
"Zambia","2020-01-06",0
"Zambia","2020-01-07",0
"Zambia","2020-01-08",0
"Zambia","2020-01-09",0
"Zambia","2020-01-10",0
"Zambia","2020-01-11",0
"Zambia","2020-01-12",0
"Zambia","2020-01-13",0
"Zambia","2020-01-14",0
"Zambia","2020-01-15",0
"Zambia","2020-01-16",0
"Zambia","2020-01-17",0
"Zambia","2020-01-18",0
"Zambia","2020-01-19",0
"Zambia","2020-01-20",0
"Zambia","2020-01-21",0
"Zambia","2020-01-22",0
"Zambia","2020-01-23",0
"Zambia","2020-01-24",0
"Zambia","2020-01-25",0
"Zambia","2020-01-26",0
"Zambia","2020-01-27",0
"Zambia","2020-01-28",0
"Zambia","2020-01-29",0
"Zambia","2020-01-30",0
"Zambia","2020-01-31",0
"Zambia","2020-02-01",0
"Zambia","2020-02-02",0
"Zambia","2020-02-03",0
"Zambia","2020-02-04",0
"Zambia","2020-02-05",0
"Zambia","2020-02-06",0
"Zambia","2020-02-07",0
"Zambia","2020-02-08",0
"Zambia","2020-02-09",0
"Zambia","2020-02-10",0
"Zambia","2020-02-11",0
"Zambia","2020-02-12",0
"Zambia","2020-02-13",0
"Zambia","2020-02-14",0
"Zambia","2020-02-15",0
"Zambia","2020-02-16",0
"Zambia","2020-02-17",0
"Zambia","2020-02-18",0
"Zambia","2020-02-19",0
"Zambia","2020-02-20",0
"Zambia","2020-02-21",0
"Zambia","2020-02-22",0
"Zambia","2020-02-23",0
"Zambia","2020-02-24",0
"Zambia","2020-02-25",0
"Zambia","2020-02-26",0
"Zambia","2020-02-27",0
"Zambia","2020-02-28",0
"Zambia","2020-02-29",0
"Zambia","2020-03-01",0
"Zambia","2020-03-02",0
"Zambia","2020-03-03",0
"Zambia","2020-03-04",0
"Zambia","2020-03-05",0
"Zambia","2020-03-06",0
"Zambia","2020-03-07",0
"Zambia","2020-03-08",0
"Zambia","2020-03-09",0
"Zambia","2020-03-10",0
"Zambia","2020-03-11",0
"Zambia","2020-03-12",0
"Zambia","2020-03-13",0
"Zambia","2020-03-14",0
"Zambia","2020-03-15",0
"Zambia","2020-03-16",0
"Zambia","2020-03-17",0
"Zambia","2020-03-18",0
"Zambia","2020-03-19",0.09924113
"Zambia","2020-03-20",0
"Zambia","2020-03-21",0
"Zambia","2020-03-22",0
"Zambia","2020-03-23",0.049620565
"Zambia","2020-03-24",0
"Zambia","2020-03-25",0
"Zambia","2020-03-26",0.4465851
"Zambia","2020-03-27",0.19848226
"Zambia","2020-03-28",0.29772338
"Zambia","2020-03-29",0.29772338
"Zambia","2020-03-30",0.049620565
"Zambia","2020-03-31",0.29772338
"Zambia","2020-04-01",0.049620565
"Zambia","2020-04-02",0
"Zambia","2020-04-03",0.14886169
"Zambia","2020-04-04",0
"Zambia","2020-04-05",0
"Zambia","2020-04-06",0
"Zambia","2020-04-07",0
"Zambia","2020-04-08",0
"Zambia","2020-04-09",0
"Zambia","2020-04-10",0
"Zambia","2020-04-11",0.049620565
"Zambia","2020-04-12",0
"Zambia","2020-04-13",0.14886169
"Zambia","2020-04-14",0.09924113
"Zambia","2020-04-15",0
"Zambia","2020-04-16",0.14886169
"Zambia","2020-04-17",0
"Zambia","2020-04-18",0.19848226
"Zambia","2020-04-19",0.24810281
"Zambia","2020-04-20",0.19848226
"Zambia","2020-04-21",0.19848226
"Zambia","2020-04-22",0.24810281
"Zambia","2020-04-23",0.19848226
"Zambia","2020-04-24",0.09924113
"Zambia","2020-04-25",0.39696452
"Zambia","2020-04-26",0
"Zambia","2020-04-27",0.14886169
"Zambia","2020-04-28",0.09924113
"Zambia","2020-04-29",0.29772338
"Zambia","2020-04-30",0.09924113
"Zambia","2020-05-01",0.4465851
"Zambia","2020-05-02",0.14886169
"Zambia","2020-05-03",0.49620563
"Zambia","2020-05-04",0.24810281
"Zambia","2020-05-05",0.64506733
"Zambia","2020-05-06",0.09924113
"Zambia","2020-05-07",0.34734395
"Zambia","2020-05-08",0.34734395
"Zambia","2020-05-09",0.6946879
"Zambia","2020-05-10",4.217748
"Zambia","2020-05-11",0.7443085
"Zambia","2020-05-12",0
"Zambia","2020-05-13",8.633978
"Zambia","2020-05-14",0.24810281
"Zambia","2020-05-15",10.321077
"Zambia","2020-05-16",0.6946879
"Zambia","2020-05-17",0.5458262
"Zambia","2020-05-18",3.6719217
"Zambia","2020-05-19",0.39696452
"Zambia","2020-05-20",0.5458262
"Zambia","2020-05-21",2.977234
"Zambia","2020-05-22",1.6870992
"Zambia","2020-05-23",2.6795104
"Zambia","2020-05-24",0
"Zambia","2020-05-25",0
"Zambia","2020-05-26",0
"Zambia","2020-05-27",0
"Zambia","2020-05-28",6.798017
"Zambia","2020-05-29",0
"Zambia","2020-05-30",0
"Zambia","2020-05-31",0
"Zambia","2020-06-01",1.0916524
"Zambia","2020-06-02",1.5878581
"Zambia","2020-06-03",1.5382375
"Zambia","2020-06-04",0.59544677
"Zambia","2020-06-05",0
"Zambia","2020-06-06",0
"Zambia","2020-06-07",0
"Zambia","2020-06-08",0
"Zambia","2020-06-09",2.282546
"Zambia","2020-06-10",1.7367197
"Zambia","2020-06-11",0.8435496
"Zambia","2020-06-12",2.0344431
"Zambia","2020-06-13",1.3893758
"Zambia","2020-06-14",1.7863404
"Zambia","2020-06-15",0.049620565
"Zambia","2020-06-16",1.1908935
"Zambia","2020-06-17",1.141273
"Zambia","2020-06-18",0.34734395
"Zambia","2020-06-19",0.19848226
"Zambia","2020-06-20",0.6946879
"Zambia","2020-06-21",0.39696452
"Zambia","2020-06-22",0.6946879
"Zambia","2020-06-23",0
"Zambia","2020-06-24",1.240514
"Zambia","2020-06-25",0.59544677
"Zambia","2020-06-26",0.39696452
"Zambia","2020-06-27",1.6870992
"Zambia","2020-06-28",0.6946879
"Zambia","2020-06-29",0.59544677
"Zambia","2020-06-30",0.5458262
"Zambia","2020-07-01",1.2901347
"Zambia","2020-07-02",1.8855814
"Zambia","2020-07-03",0.39696452
"Zambia","2020-07-04",4.316989
"Zambia","2020-07-05",2.729131
"Zambia","2020-07-06",1.9848225
"Zambia","2020-07-07",0.24810281
"Zambia","2020-07-08",3.3741984
"Zambia","2020-07-09",2.0840638
"Zambia","2020-07-10",3.4238188
"Zambia","2020-07-11",1.4389963
"Zambia","2020-07-12",4.912436
"Zambia","2020-07-13",3.52306
"Zambia","2020-07-14",3.870404
"Zambia","2020-07-15",3.969645
"Zambia","2020-07-16",6.8476377
"Zambia","2020-07-17",5.904847
"Zambia","2020-07-18",9.427907
"Zambia","2020-07-19",8.435496
"Zambia","2020-07-20",8.336255
"Zambia","2020-07-21",8.83246
"Zambia","2020-07-22",2.977234
"Zambia","2020-07-23",9.775251
"Zambia","2020-07-24",5.7559853
"Zambia","2020-07-25",7.6415668
"Zambia","2020-07-26",23.569767
"Zambia","2020-07-27",7.591946
"Zambia","2020-07-28",3.52306
"Zambia","2020-07-29",22.329254
"Zambia","2020-07-30",12.256279
"Zambia","2020-07-31",15.183892
"Zambia","2020-08-01",20.24519
"Zambia","2020-08-02",13.149449
"Zambia","2020-08-03",5.904847
"Zambia","2020-08-04",11.561591
"Zambia","2020-08-05",10.5691805
"Zambia","2020-08-06",11.36311
"Zambia","2020-08-07",7.04612
"Zambia","2020-08-08",16.027443
"Zambia","2020-08-09",20.642155
"Zambia","2020-08-10",9.030943
"Zambia","2020-08-11",6.2025704
"Zambia","2020-08-12",3.2253366
"Zambia","2020-08-13",11.214248
"Zambia","2020-08-14",8.038531
"Zambia","2020-08-15",17.764162
"Zambia","2020-08-16",8.187393
"Zambia","2020-08-17",7.7904286
"Zambia","2020-08-18",24.462938
"Zambia","2020-08-19",7.1949816
"Zambia","2020-08-20",11.760074
"Zambia","2020-08-21",7.6415668
"Zambia","2020-08-22",12.653244
"Zambia","2020-08-23",10.122595
"Zambia","2020-08-24",12.4547615
"Zambia","2020-08-25",3.2749572
